feature,feature_group,target,baseline_mae,permuted_mae,delta_mae,relative_delta
lat_norm,location,temperature_k,1.1241883039474487,1.498961329460144,0.3747730255126953,0.33337210874435
lat_norm,location,pressure_pa,497.37060546875,848.289794921875,350.919189453125,0.7055487107494
lat_norm,location,wind_u,1.8371793031692505,2.432935953140259,0.5957566499710083,0.32427790196813694
lat_norm,location,wind_v,1.7341810464859009,2.173410415649414,0.4392293691635132,0.25327768980842924
lon_norm,location,temperature_k,1.1241883039474487,1.8206921815872192,0.6965038776397705,0.619561576289384
lon_norm,location,pressure_pa,497.37060546875,932.4199829101562,435.04937744140625,0.8746986103679997
lon_norm,location,wind_u,1.8371793031692505,3.5990359783172607,1.7618566751480103,0.959000938073217
lon_norm,location,wind_v,1.7341810464859009,3.9955780506134033,2.2613970041275024,1.3040143696126412
abs_lat_norm,location,temperature_k,1.1241883039474487,2.1595492362976074,1.0353609323501587,0.9209853266704664
abs_lat_norm,location,pressure_pa,497.37060546875,917.5300903320312,420.15948486328125,0.8447613916936232
abs_lat_norm,location,wind_u,1.8371793031692505,4.771368026733398,2.934188723564148,1.597116143482831
abs_lat_norm,location,wind_v,1.7341810464859009,3.126828193664551,1.39264714717865,0.8030575296625884
altitude_km,altitude,temperature_k,1.1241883039474487,12.401884078979492,11.277695775032043,10.03185652744456
altitude_km,altitude,pressure_pa,497.37060546875,12364.6435546875,11867.27294921875,23.86002071440142
altitude_km,altitude,wind_u,1.8371793031692505,4.9969329833984375,3.159753680229187,1.7198940107687977
altitude_km,altitude,wind_v,1.7341810464859009,3.5226290225982666,1.7884479761123657,1.0312925399204598
log1p_altitude_km,altitude,temperature_k,1.1241883039474487,3.890061616897583,2.7658733129501343,2.4603292021791288
log1p_altitude_km,altitude,pressure_pa,497.37060546875,2843.666015625,2346.29541015625,4.717398624603015
log1p_altitude_km,altitude,wind_u,1.8371793031692505,4.057657241821289,2.2204779386520386,1.2086343095753223
log1p_altitude_km,altitude,wind_v,1.7341810464859009,3.2233986854553223,1.4892176389694214,0.858744040587419
altitude_km_sq,altitude,temperature_k,1.1241883039474487,9.418501853942871,8.294313549995422,7.378046472171043
altitude_km_sq,altitude,pressure_pa,497.37060546875,8739.166015625,8241.79541015625,16.57073280876484
altitude_km_sq,altitude,wind_u,1.8371793031692505,5.186185836791992,3.3490065336227417,1.8229067396119114
altitude_km_sq,altitude,wind_v,1.7341810464859009,3.254973888397217,1.520792841911316,0.8769515991384007
altitude_km_cu,altitude,temperature_k,1.1241883039474487,5.593128204345703,4.468939900398254,3.975259202311679
altitude_km_cu,altitude,pressure_pa,497.37060546875,3844.669189453125,3347.298583984375,6.729988759246624
altitude_km_cu,altitude,wind_u,1.8371793031692505,5.0331196784973145,3.195940375328064,1.7395908879524522
altitude_km_cu,altitude,wind_v,1.7341810464859009,2.9877607822418213,1.2535797357559204,0.7228655498779332
sin_lat,location,temperature_k,1.1241883039474487,1.3416727781295776,0.2174844741821289,0.1934591148284135
sin_lat,location,pressure_pa,497.37060546875,678.3231201171875,180.9525146484375,0.36381827285088086
sin_lat,location,wind_u,1.8371793031692505,2.480966567993164,0.6437872648239136,0.3504215749183217
sin_lat,location,wind_v,1.7341810464859009,2.215313673019409,0.4811326265335083,0.2774408286311645
cos_lat,location,temperature_k,1.1241883039474487,3.397505521774292,2.2733172178268433,2.022185438012804
