axis,target,bin_start,bin_end,bin_center,count,mean_abs_error
altitude_m,temperature_k,0.0,2643.765625,1321.8828125,8314,1.3367019891738892
altitude_m,temperature_k,2643.765625,5287.53125,3965.6484375,5562,1.083661437034607
altitude_m,temperature_k,5287.53125,7931.296875,6609.4140625,5214,1.049949288368225
altitude_m,temperature_k,7931.296875,10575.0625,9253.1796875,3756,1.3164509534835815
altitude_m,temperature_k,10575.0625,13218.828125,11896.9453125,4788,1.1018035411834717
altitude_m,temperature_k,13218.828125,15862.59375,14540.7109375,2719,1.1100261211395264
altitude_m,temperature_k,15862.59375,18506.359375,17184.4765625,3201,1.019768476486206
altitude_m,temperature_k,18506.359375,21150.125,19828.2421875,4688,1.0337265729904175
altitude_m,temperature_k,21150.125,23793.890625,22472.0078125,660,0.9155867099761963
altitude_m,temperature_k,23793.890625,26437.65625,25115.7734375,3175,0.9445309638977051
altitude_m,temperature_k,26437.65625,29081.421875,27759.5390625,1771,0.95749831199646
altitude_m,temperature_k,29081.421875,31725.1875,30403.3046875,2652,1.119644045829773
altitude_m,pressure_pa,0.0,2643.765625,1321.8828125,8314,1153.051513671875
altitude_m,pressure_pa,2643.765625,5287.53125,3965.6484375,5562,783.3920288085938
altitude_m,pressure_pa,5287.53125,7931.296875,6609.4140625,5214,567.4868774414062
altitude_m,pressure_pa,7931.296875,10575.0625,9253.1796875,3756,505.6346740722656
altitude_m,pressure_pa,10575.0625,13218.828125,11896.9453125,4788,387.3926696777344
altitude_m,pressure_pa,13218.828125,15862.59375,14540.7109375,2719,339.1310729980469
altitude_m,pressure_pa,15862.59375,18506.359375,17184.4765625,3201,212.70892333984375
altitude_m,pressure_pa,18506.359375,21150.125,19828.2421875,4688,119.88109588623047
altitude_m,pressure_pa,21150.125,23793.890625,22472.0078125,660,66.58734893798828
altitude_m,pressure_pa,23793.890625,26437.65625,25115.7734375,3175,52.97563552856445
altitude_m,pressure_pa,26437.65625,29081.421875,27759.5390625,1771,39.95101547241211
altitude_m,pressure_pa,29081.421875,31725.1875,30403.3046875,2652,22.355792999267578
altitude_m,wind_u,0.0,2643.765625,1321.8828125,8314,1.750035285949707
altitude_m,wind_u,2643.765625,5287.53125,3965.6484375,5562,1.857869267463684
altitude_m,wind_u,5287.53125,7931.296875,6609.4140625,5214,2.1241657733917236
altitude_m,wind_u,7931.296875,10575.0625,9253.1796875,3756,2.587275981903076
altitude_m,wind_u,10575.0625,13218.828125,11896.9453125,4788,2.1693153381347656
altitude_m,wind_u,13218.828125,15862.59375,14540.7109375,2719,1.9678834676742554
altitude_m,wind_u,15862.59375,18506.359375,17184.4765625,3201,1.7104218006134033
altitude_m,wind_u,18506.359375,21150.125,19828.2421875,4688,1.5380910634994507
altitude_m,wind_u,21150.125,23793.890625,22472.0078125,660,1.557267665863037
altitude_m,wind_u,23793.890625,26437.65625,25115.7734375,3175,1.3838145732879639
altitude_m,wind_u,26437.65625,29081.421875,27759.5390625,1771,1.4362174272537231
altitude_m,wind_u,29081.421875,31725.1875,30403.3046875,2652,1.521165132522583
altitude_m,wind_v,0.0,2643.765625,1321.8828125,8314,1.605815052986145
altitude_m,wind_v,2643.765625,5287.53125,3965.6484375,5562,1.7000404596328735
altitude_m,wind_v,5287.53125,7931.296875,6609.4140625,5214,1.990347146987915
altitude_m,wind_v,7931.296875,10575.0625,9253.1796875,3756,2.5197813510894775
altitude_m,wind_v,10575.0625,13218.828125,11896.9453125,4788,2.027416467666626
altitude_m,wind_v,13218.828125,15862.59375,14540.7109375,2719,1.8311209678649902
altitude_m,wind_v,15862.59375,18506.359375,17184.4765625,3201,1.5214630365371704
altitude_m,wind_v,18506.359375,21150.125,19828.2421875,4688,1.4058514833450317
altitude_m,wind_v,21150.125,23793.890625,22472.0078125,660,1.3997551202774048
altitude_m,wind_v,23793.890625,26437.65625,25115.7734375,3175,1.289871335029602
altitude_m,wind_v,26437.65625,29081.421875,27759.5390625,1771,1.3936179876327515
altitude_m,wind_v,29081.421875,31725.1875,30403.3046875,2652,1.533159613609314
lat,temperature_k,-89.5,-74.5625,-82.03125,825,1.3757649660110474
lat,temperature_k,-74.5625,-59.625,-67.09375,2330,1.3601242303848267
lat,temperature_k,-59.625,-44.6875,-52.15625,3766,1.3391950130462646
lat,temperature_k,-44.6875,-29.75,-37.21875,4798,1.190003514289856
lat,temperature_k,-29.75,-14.8125,-22.28125,5607,1.0479766130447388
lat,temperature_k,-14.8125,0.125,-7.34375,5938,0.9242628812789917
lat,temperature_k,0.125,15.0625,7.59375,6023,0.9142865538597107
lat,temperature_k,15.0625,30.0,22.53125,5547,1.0516120195388794
lat,temperature_k,30.0,44.9375,37.46875,4856,1.2246143817901611
lat,temperature_k,44.9375,59.875,52.40625,3622,1.2491236925125122
lat,temperature_k,59.875,74.8125,67.34375,2350,1.2439004182815552
lat,temperature_k,74.8125,89.75,82.28125,838,1.2842447757720947
lat,pressure_pa,-89.5,-74.5625,-82.03125,825,770.3843994140625
lat,pressure_pa,-74.5625,-59.625,-67.09375,2330,681.4515991210938
lat,pressure_pa,-59.625,-44.6875,-52.15625,3766,647.1251220703125
lat,pressure_pa,-44.6875,-29.75,-37.21875,4798,543.71826171875
lat,pressure_pa,-29.75,-14.8125,-22.28125,5607,444.154541015625
lat,pressure_pa,-14.8125,0.125,-7.34375,5938,380.1090393066406
lat,pressure_pa,0.125,15.0625,7.59375,6023,380.5501403808594
lat,pressure_pa,15.0625,30.0,22.53125,5547,425.4847717285156
lat,pressure_pa,30.0,44.9375,37.46875,4856,493.7385559082031
lat,pressure_pa,44.9375,59.875,52.40625,3622,581.0269775390625
lat,pressure_pa,59.875,74.8125,67.34375,2350,595.6453247070312
lat,pressure_pa,74.8125,89.75,82.28125,838,707.6813354492188
lat,wind_u,-89.5,-74.5625,-82.03125,825,1.8849884271621704
lat,wind_u,-74.5625,-59.625,-67.09375,2330,2.09897518157959
lat,wind_u,-59.625,-44.6875,-52.15625,3766,2.173213243484497
lat,wind_u,-44.6875,-29.75,-37.21875,4798,2.0546677112579346
lat,wind_u,-29.75,-14.8125,-22.28125,5607,1.740701675415039
lat,wind_u,-14.8125,0.125,-7.34375,5938,1.532657504081726
lat,wind_u,0.125,15.0625,7.59375,6023,1.6597522497177124
lat,wind_u,15.0625,30.0,22.53125,5547,1.7565393447875977
lat,wind_u,30.0,44.9375,37.46875,4856,2.093801975250244
lat,wind_u,44.9375,59.875,52.40625,3622,1.9545437097549438
lat,wind_u,59.875,74.8125,67.34375,2350,1.8485318422317505
lat,wind_u,74.8125,89.75,82.28125,838,1.6921701431274414
lat,wind_v,-89.5,-74.5625,-82.03125,825,1.734683632850647
lat,wind_v,-74.5625,-59.625,-67.09375,2330,1.9436372518539429
lat,wind_v,-59.625,-44.6875,-52.15625,3766,2.167271614074707
lat,wind_v,-44.6875,-29.75,-37.21875,4798,1.94881010055542
lat,wind_v,-29.75,-14.8125,-22.28125,5607,1.6170170307159424
lat,wind_v,-14.8125,0.125,-7.34375,5938,1.391636610031128
lat,wind_v,0.125,15.0625,7.59375,6023,1.487640142440796
lat,wind_v,15.0625,30.0,22.53125,5547,1.626868486404419
lat,wind_v,30.0,44.9375,37.46875,4856,1.9203636646270752
lat,wind_v,44.9375,59.875,52.40625,3622,1.9058359861373901
lat,wind_v,59.875,74.8125,67.34375,2350,1.6834228038787842
lat,wind_v,74.8125,89.75,82.28125,838,1.6439588069915771
utc_hour,temperature_k,0.0,1.0,0.5,1886,1.1601728200912476
utc_hour,temperature_k,1.0,2.0,1.5,1979,1.1408870220184326
utc_hour,temperature_k,2.0,3.0,2.5,1933,1.0863226652145386
utc_hour,temperature_k,3.0,4.0,3.5,1900,1.0822452306747437
utc_hour,temperature_k,4.0,5.0,4.5,2007,1.1255615949630737
utc_hour,temperature_k,5.0,6.0,5.5,2042,1.107374668121338
utc_hour,temperature_k,6.0,7.0,6.5,1945,1.0822880268096924
utc_hour,temperature_k,7.0,8.0,7.5,1972,1.1166538000106812
utc_hour,temperature_k,8.0,9.0,8.5,1989,1.1334806680679321
utc_hour,temperature_k,9.0,10.0,9.5,1956,1.168442964553833
utc_hour,temperature_k,10.0,11.0,10.5,1925,1.1197055578231812
utc_hour,temperature_k,11.0,12.0,11.5,1962,1.1171032190322876
utc_hour,temperature_k,12.0,13.0,12.5,1882,1.127010464668274
utc_hour,temperature_k,13.0,14.0,13.5,1920,1.1395854949951172
utc_hour,temperature_k,14.0,15.0,14.5,1974,1.1723874807357788
utc_hour,temperature_k,15.0,16.0,15.5,1971,1.093167781829834
utc_hour,temperature_k,16.0,17.0,16.5,1865,1.0993101596832275
utc_hour,temperature_k,17.0,18.0,17.5,1895,1.130752682685852
utc_hour,temperature_k,18.0,19.0,18.5,1952,1.1281695365905762
utc_hour,temperature_k,19.0,20.0,19.5,1899,1.1412935256958008
utc_hour,temperature_k,20.0,21.0,20.5,1925,1.1308053731918335
utc_hour,temperature_k,21.0,22.0,21.5,1892,1.1309621334075928
utc_hour,temperature_k,22.0,23.0,22.5,1927,1.1013165712356567
utc_hour,temperature_k,23.0,24.0,23.5,1902,1.1230599880218506
utc_hour,pressure_pa,0.0,1.0,0.5,1886,516.303466796875
utc_hour,pressure_pa,1.0,2.0,1.5,1979,505.58575439453125
utc_hour,pressure_pa,2.0,3.0,2.5,1933,481.2742004394531
utc_hour,pressure_pa,3.0,4.0,3.5,1900,483.5266418457031
utc_hour,pressure_pa,4.0,5.0,4.5,2007,531.38427734375
utc_hour,pressure_pa,5.0,6.0,5.5,2042,487.93780517578125
utc_hour,pressure_pa,6.0,7.0,6.5,1945,476.3025817871094
utc_hour,pressure_pa,7.0,8.0,7.5,1972,527.6047973632812
utc_hour,pressure_pa,8.0,9.0,8.5,1989,488.29864501953125
utc_hour,pressure_pa,9.0,10.0,9.5,1956,484.49755859375
utc_hour,pressure_pa,10.0,11.0,10.5,1925,510.76641845703125
utc_hour,pressure_pa,11.0,12.0,11.5,1962,485.3062438964844
utc_hour,pressure_pa,12.0,13.0,12.5,1882,509.622802734375
utc_hour,pressure_pa,13.0,14.0,13.5,1920,502.4636535644531
utc_hour,pressure_pa,14.0,15.0,14.5,1974,494.9141845703125
utc_hour,pressure_pa,15.0,16.0,15.5,1971,516.8080444335938
utc_hour,pressure_pa,16.0,17.0,16.5,1865,495.1304931640625
utc_hour,pressure_pa,17.0,18.0,17.5,1895,479.649658203125
utc_hour,pressure_pa,18.0,19.0,18.5,1952,492.3993225097656
utc_hour,pressure_pa,19.0,20.0,19.5,1899,493.3542785644531
utc_hour,pressure_pa,20.0,21.0,20.5,1925,493.2395324707031
utc_hour,pressure_pa,21.0,22.0,21.5,1892,504.0198974609375
utc_hour,pressure_pa,22.0,23.0,22.5,1927,491.9001770019531
utc_hour,pressure_pa,23.0,24.0,23.5,1902,502.42962646484375
utc_hour,wind_u,0.0,1.0,0.5,1886,1.9109069108963013
utc_hour,wind_u,1.0,2.0,1.5,1979,1.845990538597107
utc_hour,wind_u,2.0,3.0,2.5,1933,1.8458986282348633
utc_hour,wind_u,3.0,4.0,3.5,1900,1.8192176818847656
utc_hour,wind_u,4.0,5.0,4.5,2007,1.890012264251709
utc_hour,wind_u,5.0,6.0,5.5,2042,1.820525050163269
utc_hour,wind_u,6.0,7.0,6.5,1945,1.822902798652649
utc_hour,wind_u,7.0,8.0,7.5,1972,1.8393255472183228
utc_hour,wind_u,8.0,9.0,8.5,1989,1.8189496994018555
utc_hour,wind_u,9.0,10.0,9.5,1956,1.9554827213287354
utc_hour,wind_u,10.0,11.0,10.5,1925,1.8297803401947021
utc_hour,wind_u,11.0,12.0,11.5,1962,1.8606153726577759
utc_hour,wind_u,12.0,13.0,12.5,1882,1.9116514921188354
utc_hour,wind_u,13.0,14.0,13.5,1920,1.8583120107650757
utc_hour,wind_u,14.0,15.0,14.5,1974,1.8098410367965698
utc_hour,wind_u,15.0,16.0,15.5,1971,1.7731914520263672
utc_hour,wind_u,16.0,17.0,16.5,1865,1.8577591180801392
utc_hour,wind_u,17.0,18.0,17.5,1895,1.873599886894226
utc_hour,wind_u,18.0,19.0,18.5,1952,1.8029767274856567
utc_hour,wind_u,19.0,20.0,19.5,1899,1.8523820638656616
utc_hour,wind_u,20.0,21.0,20.5,1925,1.860856533050537
utc_hour,wind_u,21.0,22.0,21.5,1892,1.8356391191482544
utc_hour,wind_u,22.0,23.0,22.5,1927,1.8549249172210693
utc_hour,wind_u,23.0,24.0,23.5,1902,1.8940138816833496
utc_hour,wind_v,0.0,1.0,0.5,1886,1.7435845136642456
utc_hour,wind_v,1.0,2.0,1.5,1979,1.684876799583435
utc_hour,wind_v,2.0,3.0,2.5,1933,1.7384978532791138
utc_hour,wind_v,3.0,4.0,3.5,1900,1.7038326263427734
utc_hour,wind_v,4.0,5.0,4.5,2007,1.667527675628662
utc_hour,wind_v,5.0,6.0,5.5,2042,1.7470506429672241
utc_hour,wind_v,6.0,7.0,6.5,1945,1.679835319519043
utc_hour,wind_v,7.0,8.0,7.5,1972,1.7304949760437012
utc_hour,wind_v,8.0,9.0,8.5,1989,1.7587257623672485
utc_hour,wind_v,9.0,10.0,9.5,1956,1.7663935422897339
utc_hour,wind_v,10.0,11.0,10.5,1925,1.7745226621627808
utc_hour,wind_v,11.0,12.0,11.5,1962,1.6812551021575928
utc_hour,wind_v,12.0,13.0,12.5,1882,1.7618134021759033
utc_hour,wind_v,13.0,14.0,13.5,1920,1.7683048248291016
utc_hour,wind_v,14.0,15.0,14.5,1974,1.7607051134109497
utc_hour,wind_v,15.0,16.0,15.5,1971,1.6765496730804443
utc_hour,wind_v,16.0,17.0,16.5,1865,1.73103928565979
utc_hour,wind_v,17.0,18.0,17.5,1895,1.7395683526992798
utc_hour,wind_v,18.0,19.0,18.5,1952,1.7246439456939697
utc_hour,wind_v,19.0,20.0,19.5,1899,1.7226263284683228
utc_hour,wind_v,20.0,21.0,20.5,1925,1.7018518447875977
utc_hour,wind_v,21.0,22.0,21.5,1892,1.751837968826294
utc_hour,wind_v,22.0,23.0,22.5,1927,1.7179490327835083
utc_hour,wind_v,23.0,24.0,23.5,1902,1.74104905128479
