epoch,loss,pressure_pa_loss,pressure_pa_mae,pressure_pa_rmse,temperature_k_loss,temperature_k_mae,temperature_k_rmse,val_loss,val_pressure_pa_loss,val_pressure_pa_mae,val_pressure_pa_rmse,val_temperature_k_loss,val_temperature_k_mae,val_temperature_k_rmse,val_wind_u_loss,val_wind_u_mae,val_wind_u_rmse,val_wind_v_loss,val_wind_v_mae,val_wind_v_rmse,wind_u_loss,wind_u_mae,wind_u_rmse,wind_v_loss,wind_v_mae,wind_v_rmse
0,0.5281638503074646,0.02640877291560173,0.14852119982242584,0.27083009481430054,0.0379410982131958,0.19051840901374817,0.32717564702033997,0.44081634283065796,0.005754465702921152,0.084940105676651,0.10718024522066116,0.015586032532155514,0.14231985807418823,0.17661719024181366,0.08248764276504517,0.3265250325202942,0.46480855345726013,0.20432688295841217,0.5994797348976135,0.9106489419937134,0.10823788493871689,0.38796746730804443,0.5590132474899292,0.22235316038131714,0.6390854120254517,0.9601766467094421
1,0.3718217611312866,0.0031532933935523033,0.06235995143651962,0.0794311985373497,0.008126530796289444,0.09781631082296371,0.12751291692256927,0.4485032856464386,0.006172434892505407,0.09125654399394989,0.11095154285430908,0.015632908791303635,0.13990385830402374,0.17675866186618805,0.08799239248037338,0.3407958447933197,0.4824933409690857,0.20374776422977448,0.5977145433425903,0.9157856702804565,0.06674394756555557,0.2863607406616211,0.409031480550766,0.17735666036605835,0.5411948561668396,0.8238213658332825
2,0.27637195587158203,0.0020219371654093266,0.05002984032034874,0.06360217928886414,0.005872165318578482,0.0827135518193245,0.10836939513683319,0.37241697311401367,0.004152129404246807,0.07236181944608688,0.0907205268740654,0.01588589884340763,0.14134831726551056,0.17787155508995056,0.06729015707969666,0.28763166069984436,0.4110507369041443,0.17455466091632843,0.5341912508010864,0.8257354497909546,0.04794641584157944,0.2365419864654541,0.3343506157398224,0.13367880880832672,0.4459078311920166,0.6651517748832703
3,0.2413664609193802,0.0015602700877934694,0.043938636779785156,0.055872004479169846,0.004967080894857645,0.07602357864379883,0.09968160092830658,0.330594927072525,0.0035054702311754227,0.0677230954170227,0.08332954347133636,0.014299370348453522,0.14048074185848236,0.1687944084405899,0.05680230259895325,0.25872236490249634,0.3736063539981842,0.15788795053958893,0.49716684222221375,0.7713329195976257,0.04164031147956848,0.21852898597717285,0.307951420545578,0.11711317300796509,0.4088159501552582,0.6037750840187073
4,0.22569210827350616,0.0012966435169801116,0.03996402025222778,0.05093256011605263,0.0044562360271811485,0.07184750586748123,0.0944146066904068,0.3154433071613312,0.0024423315189778805,0.0557374432682991,0.06947052478790283,0.008323944173753262,0.10302864760160446,0.1287379115819931,0.053979407995939255,0.2511906623840332,0.36277908086776733,0.15293778479099274,0.4862256646156311,0.7542843818664551,0.03877848759293556,0.2101592719554901,0.29541051387786865,0.10978160798549652,0.39203131198883057,0.5770962834358215
5,0.21065707504749298,0.0010321080917492509,0.03551499918103218,0.04543105885386467,0.003890888299793005,0.06694690138101578,0.08821553736925125,0.2673013210296631,0.001511470298282802,0.0436323806643486,0.054872337728738785,0.00460641086101532,0.07435151189565659,0.0958196222782135,0.04432247579097748,0.22453390061855316,0.3211999237537384,0.13207028806209564,0.4407777190208435,0.6668756604194641,0.03587564453482628,0.20132103562355042,0.28268495202064514,0.1029435470700264,0.3761105239391327,0.5519051551818848
6,0.19695010781288147,0.0009079186711460352,0.03330688923597336,0.04261792451143265,0.003543155500665307,0.06385494768619537,0.0841837152838707,0.2473885864019394,0.001385392970405519,0.03942692279815674,0.05256635323166847,0.0038833171129226685,0.06771863251924515,0.08800893276929855,0.04028041288256645,0.2126309722661972,0.3042791187763214,0.12312120944261551,0.420619398355484,0.632850706577301,0.033258020877838135,0.19314390420913696,0.2708873748779297,0.0965808555483818,0.36115705966949463,0.5284562110900879
7,0.18687893450260162,0.0008661654428578913,0.03248634934425354,0.041627634316682816,0.0033295953180640936,0.06189509481191635,0.0816076323390007,0.22494056820869446,0.0011273401323705912,0.03425653651356697,0.047348618507385254,0.0036894867662340403,0.06613726913928986,0.08580297231674194,0.03707809001207352,0.20414456725120544,0.28821682929992676,0.11150840669870377,0.39467817544937134,0.5870406627655029,0.031343724578619,0.18701757490634918,0.2620868682861328,0.09186243265867233,0.3498871326446533,0.5110476016998291
8,0.17920871078968048,0.0008217524155043066,0.03157944604754448,0.04054701700806618,0.0031620697118341923,0.06035630404949188,0.07953017950057983,0.21150515973567963,0.0007298460113815963,0.028351077809929848,0.03810454159975052,0.003268058877438307,0.06166469305753708,0.08073939383029938,0.03485442325472832,0.19780191779136658,0.2782996892929077,0.10502210259437561,0.3793817162513733,0.5648804306983948,0.029895758256316185,0.18234257400035858,0.2552327811717987,0.08826665580272675,0.34128329157829285,0.49763748049736023
9,0.17336003482341766,0.0007870692643336952,0.030876971781253815,0.0396805964410305,0.003052319400012493,0.05930498614907265,0.07813795655965805,0.1988060176372528,0.0007080502109602094,0.02826087363064289,0.0375281497836113,0.0029180715791881084,0.058061208575963974,0.07631008327007294,0.032698702067136765,0.19130614399909973,0.26788973808288574,0.09878984838724136,0.3654399812221527,0.5384477972984314,0.02887299843132496,0.17904385924339294,0.25027796626091003,0.08544044941663742,0.3344371020793915,0.4871918857097626
10,0.1679021120071411,0.0007662371499463916,0.03041994199156761,0.03915153071284294,0.0029445202089846134,0.0582609698176384,0.07674682140350342,0.1899978518486023,0.0005344812525436282,0.025018073618412018,0.03260083869099617,0.002715903101488948,0.05583343654870987,0.07362215220928192,0.030905479565262794,0.18473780155181885,0.2604474723339081,0.09481926262378693,0.35603511333465576,0.5240322947502136,0.027901358902454376,0.17585156857967377,0.2455802708864212,0.08281712234020233,0.3280668258666992,0.47732818126678467
11,0.16331368684768677,0.0007498402264900506,0.030086634680628777,0.03872983902692795,0.0028629591688513756,0.057453397661447525,0.07567577064037323,0.18524809181690216,0.0005396956694312394,0.025429854169487953,0.03279110789299011,0.0024777438957244158,0.05297479033470154,0.0703326165676117,0.029945772141218185,0.1817777454853058,0.25560933351516724,0.09269323199987411,0.3511010408401489,0.5158650875091553,0.02710379660129547,0.17316126823425293,0.2416938841342926,0.08059009909629822,0.322587251663208,0.4691336452960968
12,0.15910732746124268,0.0007293457165360451,0.029663540422916412,0.038198795169591904,0.0027796814683824778,0.05662026256322861,0.07456741482019424,0.18439924716949463,0.0005383600946515799,0.02543538808822632,0.03272382169961929,0.002529899124056101,0.05347544699907303,0.07105693966150284,0.02937491610646248,0.17999717593193054,0.25286972522735596,0.09265818446874619,0.35100603103637695,0.5160649418830872,0.026271281763911247,0.17029403150081635,0.23762600123882294,0.07865410298109055,0.3177976906299591,0.4618968069553375
13,0.15514306724071503,0.0007189553580246866,0.029425228014588356,0.037923939526081085,0.002694934606552124,0.055716075003147125,0.07342080771923065,0.18563680350780487,0.0005324206431396306,0.02507660537958145,0.032562170177698135,0.0025547107215970755,0.05322222784161568,0.07141327857971191,0.029441315680742264,0.17969031631946564,0.25403374433517456,0.0933903306722641,0.3521135151386261,0.52414870262146,0.02554846741259098,0.16779690980911255,0.23403741419315338,0.07676590234041214,0.31305620074272156,0.45479246973991394
14,0.15157626569271088,0.0007052587461657822,0.02912897616624832,0.0375610888004303,0.0026294863782823086,0.05503995344042778,0.07252330332994461,0.17973797023296356,0.0004944234970025718,0.02380063384771347,0.03138071298599243,0.002416141564026475,0.051488038152456284,0.06944308429956436,0.028750602155923843,0.17762593924999237,0.2506706416606903,0.09020043909549713,0.3445402681827545,0.5113583207130432,0.024883782491087914,0.16550159454345703,0.23069290816783905,0.07507990300655365,0.3088547885417938,0.4484134316444397
